,node_idx,explainer,pr_auc,roc_auc,f1,false_negative_rate,false_positive_rate,difficult_false_positives,precision,dataset_type,num_nodes,p_edge,homophily,labelled_fraction,num_classes,seed,whitebox
0,1778,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
1,283,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
2,769,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
3,1684,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
4,147,Deconvolution,0.55,0.9375,0.8888888888888888,0.0,0.0625,1.0,0.8,Cora,,,,0.8,7,3030,GeneralLPModel
5,1054,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
6,993,Deconvolution,0.5303030303030303,0.9672131147540983,0.9,0.0,0.03278688524590164,1.0,0.8181818181818182,Cora,,,,0.8,7,3030,GeneralLPModel
7,1335,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
8,2260,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
9,1438,Deconvolution,1.0,,1.0,0.0,,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
10,316,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
11,531,Deconvolution,0.4166666666666667,0.9,0.8,0.0,0.1,1.0,0.6666666666666666,Cora,,,,0.8,7,3030,GeneralLPModel
12,702,Deconvolution,0.5142857142857143,0.915204678362573,0.8571428571428571,0.0,0.08771929824561403,1.0,0.75,Cora,,,,0.8,7,3030,GeneralLPModel
13,482,Deconvolution,0.8777888007054674,0.993006993006993,0.9921259842519685,0.0,0.006993006993006993,1.0,0.984375,Cora,,,,0.8,7,3030,GeneralLPModel
14,1039,Deconvolution,0.48214285714285704,0.9473684210526315,0.88,0.0,0.05263157894736842,1.0,0.7857142857142857,Cora,,,,0.8,7,3030,GeneralLPModel
15,1695,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
16,1135,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
17,2171,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
18,791,Deconvolution,0.947431302270012,0.9930817610062893,0.9836065573770492,0.0,0.009433962264150943,1.0,0.967741935483871,Cora,,,,0.8,7,3030,GeneralLPModel
19,1771,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
20,883,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
21,1645,Deconvolution,0.24999999999999997,0.868421052631579,0.6153846153846154,0.0,0.13157894736842105,1.0,0.4444444444444444,Cora,,,,0.8,7,3030,GeneralLPModel
22,1210,Deconvolution,1.0,,1.0,0.0,,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
23,2606,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
24,583,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
25,963,Deconvolution,0.714,0.5,0.0,1.0,0.0,,,Cora,,,,0.8,7,3030,GeneralLPModel
26,1492,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
27,146,Deconvolution,0.7291474654377881,0.9516129032258065,0.9491525423728814,0.0,0.04838709677419355,1.0,0.9032258064516129,Cora,,,,0.8,7,3030,GeneralLPModel
28,1095,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
