,node_idx,explainer,pr_auc,roc_auc,f1,false_negative_rate,false_positive_rate,difficult_false_positives,precision,dataset_type,num_nodes,p_edge,homophily,labelled_fraction,num_classes,seed,whitebox
0,1778,SubgraphX,0.5178150887573965,0.4985949612403101,0.3575757575757576,0.2625,0.7403100775193798,,0.236,Cora,,,,0.8,7,3030,GeneralLPModel
1,283,SubgraphX,0.6041666666666666,0.4375,0.2,0.875,0.25,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
2,769,SubgraphX,0.5844155844155844,0.5802139037433155,0.47619047619047616,0.5454545454545454,0.29411764705882354,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
3,1684,SubgraphX,0.6833333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,1.0,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
4,147,SubgraphX,0.6666666666666666,0.75,0.5,0.0,0.5,1.0,0.3333333333333333,Cora,,,,0.8,7,3030,GeneralLPModel
5,1054,SubgraphX,0.6899379432624113,0.6401209677419355,0.45454545454545453,0.6875,0.03225806451612903,,0.8333333333333334,Cora,,,,0.8,7,3030,GeneralLPModel
6,993,SubgraphX,0.42976190476190473,0.5546448087431695,0.24489795918367346,0.3333333333333333,0.5573770491803278,1.0,0.15,Cora,,,,0.8,7,3030,GeneralLPModel
7,1335,SubgraphX,0.3852564102564103,0.4004524886877827,0.19047619047619047,0.8461538461538461,0.35294117647058826,,0.25,Cora,,,,0.8,7,3030,GeneralLPModel
8,2260,SubgraphX,0.7628205128205129,0.6538461538461539,0.5263157894736842,0.6153846153846154,0.07692307692307693,,0.8333333333333334,Cora,,,,0.8,7,3030,GeneralLPModel
9,1438,SubgraphX,1.0,,1.0,0.0,,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
10,316,SubgraphX,0.5303030303030303,0.5804597701149425,0.4,0.6666666666666666,0.1724137931034483,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
11,531,SubgraphX,0.375,0.5,0.25,0.5,0.5,1.0,0.16666666666666666,Cora,,,,0.8,7,3030,GeneralLPModel
12,702,SubgraphX,0.5291666666666667,0.668421052631579,0.46153846153846156,0.4,0.2631578947368421,0.2,0.375,Cora,,,,0.8,7,3030,GeneralLPModel
13,482,SubgraphX,0.6158091331663245,0.5274170274170273,0.46808510638297873,0.12698412698412698,0.8181818181818182,0.0,0.31976744186046513,Cora,,,,0.8,7,3030,GeneralLPModel
14,1039,SubgraphX,0.4969919786096257,0.6850079744816587,0.4444444444444444,0.45454545454545453,0.17543859649122806,0.6666666666666666,0.375,Cora,,,,0.8,7,3030,GeneralLPModel
15,1695,SubgraphX,0.6499999999999999,0.5972222222222222,0.375,0.75,0.05555555555555555,,0.75,Cora,,,,0.8,7,3030,GeneralLPModel
16,1135,SubgraphX,0.6451149425287357,0.5784482758620689,0.32432432432432434,0.7931034482758621,0.05,,0.75,Cora,,,,0.8,7,3030,GeneralLPModel
17,2171,SubgraphX,0.75,0.5,0.6666666666666666,0.0,1.0,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
18,791,SubgraphX,0.524264705882353,0.5452830188679246,0.17647058823529413,0.9,0.009433962264150943,0.0,0.75,Cora,,,,0.8,7,3030,GeneralLPModel
19,1771,SubgraphX,0.23277578912346358,0.49470938712947166,0.14545454545454545,0.8762886597938144,0.1342925659472422,,0.17647058823529413,Cora,,,,0.8,7,3030,GeneralLPModel
20,883,SubgraphX,0.36853002070393376,0.5089285714285714,0.2,0.8571428571428571,0.125,,0.3333333333333333,Cora,,,,0.8,7,3030,GeneralLPModel
21,1645,SubgraphX,0.6369047619047619,0.8355263157894737,0.6,0.25,0.07894736842105263,0.2,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
22,1210,SubgraphX,1.0,,1.0,0.0,,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
23,2606,SubgraphX,0.875,0.5,0.8571428571428571,0.0,1.0,,0.75,Cora,,,,0.8,7,3030,GeneralLPModel
24,583,SubgraphX,0.5491304347826087,0.48857142857142866,0.1935483870967742,0.88,0.14285714285714285,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
25,963,SubgraphX,0.6375892902248043,0.554375531011045,0.5490196078431373,0.34579439252336447,0.5454545454545454,,0.47297297297297297,Cora,,,,0.8,7,3030,GeneralLPModel
26,1492,SubgraphX,0.24339409888258848,0.5029792939073439,0.12435233160621761,0.9124087591240876,0.08163265306122448,,0.21428571428571427,Cora,,,,0.8,7,3030,GeneralLPModel
27,146,SubgraphX,0.6095238095238095,0.586405529953917,0.5,0.21428571428571427,0.6129032258064516,1.0,0.36666666666666664,Cora,,,,0.8,7,3030,GeneralLPModel
28,1095,SubgraphX,0.5926473713289983,0.5124853687085447,0.39660056657223797,0.09090909090909091,0.8841201716738197,,0.2536231884057971,Cora,,,,0.8,7,3030,GeneralLPModel
29,1208,SubgraphX,1.0,,1.0,0.0,,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
30,58,SubgraphX,0.375,0.16666666666666666,0.2222222222222222,0.6666666666666666,1.0,,0.16666666666666666,Cora,,,,0.8,7,3030,GeneralLPModel
31,2623,SubgraphX,0.75,0.5,0.6666666666666666,0.0,1.0,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
32,2347,SubgraphX,0.375,0.6513157894736843,0.3333333333333333,0.5833333333333334,0.11403508771929824,,0.2777777777777778,Cora,,,,0.8,7,3030,GeneralLPModel
33,1880,SubgraphX,0.5689538043478262,0.5954400848356309,0.46511627906976744,0.5652173913043478,0.24390243902439024,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
34,1460,SubgraphX,0.5694444444444445,0.55982905982906,0.4375,0.6111111111111112,0.2692307692307692,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
35,1099,SubgraphX,0.7144230769230769,0.5769230769230769,0.26666666666666666,0.8461538461538461,0.0,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
36,896,SubgraphX,0.6,0.5833333333333334,0.5,0.5,0.3333333333333333,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
37,417,SubgraphX,0.08377541998231652,0.3786100180084039,0.02843601895734597,0.896551724137931,0.34622823984526113,0.4444444444444444,0.016483516483516484,Cora,,,,0.8,7,3030,GeneralLPModel
38,83,SubgraphX,0.75,0.5,0.0,1.0,0.0,,,Cora,,,,0.8,7,3030,GeneralLPModel
39,1530,SubgraphX,0.3762601927353595,0.5296052631578947,0.2413793103448276,0.8157894736842105,0.125,,0.35,Cora,,,,0.8,7,3030,GeneralLPModel
40,730,SubgraphX,0.75,0.5,0.6666666666666666,0.0,1.0,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
41,2222,SubgraphX,0.3642028985507246,0.40095238095238095,0.06451612903225806,0.96,0.23809523809523808,,0.16666666666666666,Cora,,,,0.8,7,3030,GeneralLPModel
42,1067,SubgraphX,0.5661483906164757,0.5023809523809524,0.39215686274509803,0.16666666666666666,0.8285714285714286,0.0,0.2564102564102564,Cora,,,,0.8,7,3030,GeneralLPModel
43,907,SubgraphX,0.6767676767676768,0.6745454545454546,0.5714285714285714,0.09090909090909091,0.56,,0.4166666666666667,Cora,,,,0.8,7,3030,GeneralLPModel
44,1462,SubgraphX,0.5029411764705882,0.5875,0.375,0.7,0.125,,0.5,Cora,,,,0.8,7,3030,GeneralLPModel
45,1200,SubgraphX,0.7045454545454546,0.5,0.0,1.0,0.0,,,Cora,,,,0.8,7,3030,GeneralLPModel
46,1876,SubgraphX,0.24344241285030763,0.4815687077616219,0.08130081300813008,0.9473684210526315,0.08949416342412451,,0.17857142857142858,Cora,,,,0.8,7,3030,GeneralLPModel
47,219,SubgraphX,0.4073508730809797,0.48458879446924963,0.3089430894308943,0.6415094339622641,0.3893129770992366,,0.2714285714285714,Cora,,,,0.8,7,3030,GeneralLPModel
48,2318,SubgraphX,0.4783333333333333,0.696969696969697,0.36363636363636365,0.3333333333333333,0.2727272727272727,0.6666666666666666,0.25,Cora,,,,0.8,7,3030,GeneralLPModel
49,1313,SubgraphX,0.8794504643962848,0.8017543859649123,0.8,0.2631578947368421,0.13333333333333333,,0.875,Cora,,,,0.8,7,3030,GeneralLPModel
50,1434,SubgraphX,0.6027472527472527,0.5140625,0.3877551020408163,0.05,0.921875,,0.24358974358974358,Cora,,,,0.8,7,3030,GeneralLPModel
51,2505,SubgraphX,0.75,0.5,0.0,1.0,0.0,,,Cora,,,,0.8,7,3030,GeneralLPModel
52,187,SubgraphX,1.0,,1.0,0.0,,,1.0,Cora,,,,0.8,7,3030,GeneralLPModel
53,915,SubgraphX,0.38942307692307687,0.46990740740740744,0.28,0.7083333333333334,0.35185185185185186,,0.2692307692307692,Cora,,,,0.8,7,3030,GeneralLPModel
